,X,text,label
99,99,Feds Ramp Up REAL ID Bullying Tactics,FAKE
100,100,ATT Helping Feds Spy On Everyone,FAKE
101,101,Critics Decry Surveillance of Canadian Journalist as Part of Horrifying Culture Shift,FAKE
102,102,Turkeys Crackdown on Criticism Continues as Journalists 10K Civil Servants Arrested,FAKE
103,103,AntiISIS Coalition Too Busy Defeating Themselves to Defeat ISIS,FAKE
104,104,Someone Just Donated 25 Million to Bail Out Everyone Arrested at Standing Rock,FAKE
105,105,If Russia Can Rig the US Presidential Election So Can An Insider,FAKE
106,106,Violent Escalation At The DAPL Protests w/Derrick Broze,FAKE
107,107,Water Protectors Face Off With Police NoDAPL,FAKE
108,108,See Real Voting System Rigged For Election Theft  Bev Harris,FAKE
109,109,Smart Meter Case Testimony Before the Pennsylvania Public Utility Commission What No One Wants to Acknowledge About EMF Damage,FAKE
110,110,Regardless of Who Wins the Election Confidence in Washington DC Is ALREADY Shattered,FAKE
111,111,Iraqis in Mosul Find US Missiles at Captured Islamic State Base,FAKE
112,112,Fed Holds on Raising Rates Fears Rising Dollar,FAKE
113,113,In Rush to Lay Blame Media Ignores Positive Community Movement in Flint Michigan,FAKE
114,114,You Are Being Programmed to Hate,FAKE
115,115,UK Involvement In US Secret Drone War Revealed,FAKE
116,116,US War In Afghanistan Silently Slips Into The Abyss,FAKE
117,117,Some Want Injustice To Be Distributed Evenly Rather Than Not At All,FAKE
118,118,Smart Meter Case Testimony Before the Pennsylvania Public Utility Commission What No One Wants to Acknowledge About EMF Damage Part 2 of 4,FAKE
119,119,Colorado Cannabis Industry Contributes More to Economy Than All Other Industries Report,FAKE
120,120,When Good People Share Bad Info  Heres Why You Need to Fact Check Before You Click Share,FAKE
121,121,Police Turn In Badges Rather Than Incite Violence Against Standing Rock Protesters Report,FAKE
122,122,Smart Meter Case Testimony Before the Pennsylvania Public Utility Commission What No One Wants to Acknowledge About EMF Damage Part 3 of 4,FAKE
123,123,WikiLeaks Revelations Leave The Federal Emperor Wearing No Clothes,FAKE
124,124,Iraqi Car Bomb JawDropping Crisis Actor Fakery Caught On Video,FAKE
125,125,FEMA Opens Loan Window As Red Cross Tries To Shut Down Shelters,FAKE
126,126,Cops Threaten To Arrest Students If They Dont Stop Handing Out Constitutions,FAKE
127,127,US Elections November Chaos What Youre Not Being Told,FAKE
128,128,US Plan C in Syria Make Al Qaeda Central The New Capital,FAKE
129,129,Drone Restrictions Can Help Peaceful Protesters Combat Injustice,FAKE
130,130,What Can The Mass Checkin At Standing Rock Tell Us About Online Advocacy,FAKE
131,131,Smart Meter Case Testimony Before the Pennsylvania Public Utility Commission What No One Wants to Acknowledge About EMF Damage Part 4 of 4,FAKE
132,132,False Flag US Intelligence Warns Of Likely Al Qaeda Terror Attack Day Before Election,FAKE
133,133,California Secessionists to Meet at Capitol Day After Presidential Election,FAKE
134,134,TreeShaped Vertical Farm Can Grow 24 Acres Of Crops,FAKE
135,135,No One Tried to Assassinate Donald Trump  But Austyn Crites Shows Up in WikiLeaks 7 Times,FAKE
136,136,Navy Petty Officer Joins DAPL Protest With Upside Down Flag  Our Greatest Enemies Are Right Here,FAKE
137,137,Leaked Memo Clinton Foundation Broke The Law,FAKE
138,138,Tiny Homes Banned In US At Increasing Rate As Govt Criminalizes Sustainable Living,FAKE
139,139,The Empire Files Abby Martin Exposes John Podesta,FAKE
140,140,Election Uncertainty Now Influencing Gold and Silver Prices,FAKE
141,141,DNC Hack A Cold War 20 False Flag,FAKE
142,142,Heres a Summary Of the Engineered US Election Chaos With a Positive Perspective,FAKE
143,143,FBI Wants you to Believe It Examined 650000 Emails in 691000 Seconds,FAKE
144,144,WikiLeaks Fends Off Cyber Attack,FAKE
145,145,Police Caught Spying on Journalists to Uncover Source of Leaks,FAKE
146,146,Just Weeks After Obamas Executive Order on Catastrophic Space Weather Events a Coronal Mass Ejection Is Set to Hit on Election Day,FAKE
147,147,Police State Elections 2016,FAKE
148,148,9 Reasons Why I Am NOT Voting,FAKE
149,149,No Matter Who Wins The Case Against Hillary Clinton Is Alive,FAKE
150,150,Cops Fire Tear Gas on Water Protectors as They Attempt to Reclaim Sacred Land,FAKE
151,151,What Is Fake News,FAKE
152,152,The US/Turkey Plan For Seizing Holding And Occupying Syrian Territory In Raqqa,FAKE
153,153,The US/Turkey Plan For Seizing Holding And Occupying Syrian Territory In Raqqa,FAKE
154,154,Proof That 100 Years of Voting for the Lesser Evil Gave Us Trump and Hillary,FAKE
155,155,Trump Declared The Winner,FAKE
156,156,President Elect Trump A New Era of Unpredictability Awaits,FAKE
157,157,Election Medias Movie of Reality Failed,FAKE
158,158,Voters in Arkansas North Dakota Legalize Medical Marijuana Despite Federal Prohibition,FAKE
159,159,Florida Voters Approve Medical Marijuana Reject Federal Prohibition,FAKE
160,160,BUSTED Trump Supporters Get Caught Creating Fake Badges To Intimidate Voters At Polling Places  Addicting Info  The Knowledge You Crave,TRUE
161,161,Kellyanne Conway LOSES IT On Jake Tapper When He Calls Out Trumps Bigoted Fans VIDEO,TRUE
162,162,Internet Erupts In Mockery After Sarah Palin Posts Something Monumentally Stupid Again TWEETS,TRUE
163,163,Trump Supporters Booby Trap Polling Place And Spill Blood Of Election Volunteer VIDEO  Addicting Info  The Knowledge You Crave,TRUE
164,164,I Dont Rent To N s Smoking Gun Proves Trump Family Racism VIDEO  Addicting Info  The Knowledge You Crave,TRUE
165,165,Former Classmate Trump Smacked His Son So Hard It Knocked Him To The Floor  Addicting Info  The Knowledge You Crave,TRUE
166,166,BREAKING Melania Trumps Immigration Records Made Public Show Trumps ULTIMATE Hypocrisy  Addicting Info  The Knowledge You Crave,TRUE
167,167,Unhinged Trump Supporter Holds Children AT GUNPOINT Over Damaged Trump Sign VIDEO,TRUE
168,168,Watch Beyonc Tell The Entire World Why She Supports Hillary Grab Your Tissues VIDEO,TRUE
169,169,The Toronto Star Published An Unauthorized Database Of Things That Will INFURIATE Trump  Addicting Info  The Knowledge You Crave,TRUE
170,170,SNL Gets Real And Delivers The Most Important Message Of The Election Year VIDEO,TRUE
171,171,Lindsey Graham Wants Trump To Put Ted Cruz On The Supreme Court Bench,TRUE
172,172,Michelle Obama Poses In A Pretty Dress So Racist Conservatives Call Her A Monkey SCREENSHOTS,TRUE
173,173,Racist Sign Calls For Lynching Black People To Prevent Them From Getting Equal Rights,TRUE
174,174,Trump Supporters Didnt Vote Because Of The Economy It Was Racism And Heres PROOF,TRUE
175,175,Megyn Kelly Makes BOMBSHELL Admission About Trump And The Media,TRUE
176,176,30 People Arrested For Food Stamp Fraud Guess How Many Were Black,TRUE
177,177,The Simpsons React To Their Trump Election Prediction And Theyre NOT Happy VIDEO,TRUE
178,178,Bernie Sanders Rises In The Senate Prepares To Become Trumps WORST Nightmare TWEETS  Addicting Info  The Knowledge You Crave,TRUE
179,179,Trump ERUPTS At Secret Meeting With The Press Transition In Chaos TWEETS  Addicting Info  The Knowledge You Crave,TRUE
180,180,Comment on HALLOWEEN IN THE CASTRO RETURNS IN 2014 by Day of the Dead 2015 History food and reflections  Andrea Lawson Gray,FAKE
181,181,Comment on Tutorial Riding The Philippine Jeepney by Ivan Jose,FAKE
182,182,Comment on What White House Executive Chef Comerford Would Cook For President Hillarys First Meal by Tony Rabon,FAKE
183,183,Comment on Philippines Voids Building Permit Of Trump Tower In Makati City by Shirley Barnett,FAKE
184,184,Comment on Hillary Clinton Campaign Logo Has A Subliminal Message by    ,FAKE
185,185,Comment on Philippine Government To Take Back The Internet From Maria Ressa And Rappler by adobochron,FAKE
186,186,Comment on If Elected President Donald Trump Will Not Live In The White House by Rebecca Bennett,FAKE
187,187,Comment on WHITE HOUSE EXECUTIVE CHEF REVEALS OBAMAS FAVORITE FILIPINO FOODS by Eligio Abellera,FAKE
188,188,Comment on Respected Journalist Bill Moyers Is First HighProfile American To Flee US After Trumps Election by Sue Penn SuePennonTwitte,FAKE
189,189,Comment on Donald Trump To Replace Filipina White House Chef With Paula Deen by Mitch Jalandoni,FAKE
190,190,Apple Adds AltRight Key To Its Computer Keyboards ,FAKE
191,191,Comment on About Us by adobochroniclescom  Real or Satire,FAKE
192,192,Comment on Philippines Department Of Tourism Unveils New Promo Slogan A Double Entendre by KoelWritingSouls,FAKE
193,193,President Putin Russian Federation supports Jammu and Kashmir's right of selfdetermination Indian army acts as ruthless bandits,FAKE
194,194,ISIS Declares It Will kill Palestinians One By One Yet Remains Quiet On Israel,FAKE
195,195,President Putin Russian Federation supports Jammu and Kashmir's right of selfdetermination Indian army acts as ruthless bandits,FAKE
196,196,ISIS Declares It Will kill Palestinians One By One Yet Remains Quiet On Israel,FAKE
197,197,CLINTON CAMPAIGN CHAIRMAN HAD MULTIPLE DINNERS WITH TOP DOJ OFFICIAL DURING HILLARY'S EMAIL INVESTIGATION,FAKE
198,198,Hillary has built the biggest bigmoney operation ever,FAKE
199,199,Hillary Sold Weapons To ISIS Wikileaks Confirms,FAKE
200,200,Top aide Hillary still not perfect in her head Wikileaks,FAKE
201,201,TRUMP CUTS OFF FUNDRAISING EVENTS FOR REPUBLICAN PARTY,FAKE
202,202,Hillary Personally Ordered Donald Duck Troll Campaign,FAKE
203,203,IBD/TIPP Tracking Poll Trump Leads Clinton with 43 Percent Support,FAKE
204,204,Hillary Friend Bribed FBI Agent and His Wife,FAKE
205,205,Arab Prince Who Gave Hillary 50 Million Begs Americans Not to Vote for Trump,FAKE
206,206,The Plenary Meeting of Iraqi Sunnis ended by stressing on unanimity and unity against threats,FAKE
207,207,Four Arab countries bought thousands of cars from Toyota and delivered them toDaesh,FAKE
208,208,UK training Saudi pilots amid reports of war crimes in Yemen,FAKE
209,209,US And Israeli Lawmakers Want Pakistan To Be Declared As Terrorist Country,FAKE
210,210,Busted Bill Recorded Telling Mistress To Deny That Clintons Helped Her Get A State Job,FAKE
211,211,Tim Kaine The Catholic Church Will Change Its SameSex Marriage Stance Or It Will Be Banned From The US,FAKE
212,212,Hillary We Did Not Lose A Single Important Person In Libya,FAKE
213,213,WikiLeaks Clinton Confidant Raised Money for Foundation Got Bill Paid Gigs,FAKE
214,214,Hillary Planning Her Escape After a Trump Win With a 18 BILLION Money Transfer to QATAR,FAKE
215,215,IOWA FARMER CLAIMS BILL CLINTON HAD SEX WITH COW DURING COCAINE PARTY,FAKE
216,216,Clinton cronies steered millions to foundation  and Bills wallet,FAKE
217,217,Biden Blames Lazy American Women For The Economy They Sit Around Doing Nothing Only Hillary Can Force Them To Work,FAKE
218,218,TRUMP CALLS FOR TEACHING PATRIOTISM IN SCHOOLS,FAKE
219,219,Rand Paul Polls Showing Hillary Ahead Are Designed To Suppress Turnout,FAKE
220,220,Saudi ambassador to the UAE Any contact with Iran Iraq Syria and Lebanon should be checked,FAKE
221,221,Erdoan US the founder of ISIS,FAKE
222,222,Poll 41 percent of voters say election could be stolen,FAKE
223,223,Hillary Clinton accused of stealing furniture from the State Department,FAKE
224,224,WIKILEAKS Hillary Got 12 Million for Clinton Charity As Quid Pro Quo For Morocco Meeting,FAKE
225,225,Trump warns of World War III if Clinton is elected,FAKE
226,226,Obama slams Trump's 'rigged' election claims as 'dangerous',FAKE
227,227,Donald Trump claims the election will be 'rigged'  and critics have called that preposterous and dangerous,FAKE
228,228,Trump says hed be neutral with Israelis and Palestinians,FAKE
229,229,Busted Bill Recorded Telling Mistress To Deny That Clintons Helped Her Get A State Job,FAKE
230,230,Tim Kaine The Catholic Church Will Change Its SameSex Marriage Stance Or It Will Be Banned From The US,FAKE
231,231,WikiLeaks Clinton Confidant Raised Money for Foundation Got Bill Paid Gigs,FAKE
232,232,Hillary Planning Her Escape After a Trump Win With a 18 BILLION Money Transfer to QATAR,FAKE
233,233,BILL CLINTON HAD SEX WITH COW DURING COCAINE PARTY IOWA FARMER REVEALS,FAKE
234,234,Clinton cronies steered millions to foundation  and Bills wallet,FAKE
235,235,Biden Blames Lazy American Women For The Economy They Sit Around Doing Nothing Only Hillary Can Force Them To Work,FAKE
236,236,TRUMP CALLS FOR TEACHING PATRIOTISM IN SCHOOLS,FAKE
237,237,Rand Paul Polls Showing Hillary Ahead Are Designed To Suppress Turnout,FAKE
238,238,Saudi ambassador to the UAE Any contact with Iran Iraq Syria and Lebanon should be checked,FAKE
239,239,Poll 41 percent of voters say election could be stolen,FAKE
240,240,Hillary Clinton accused of stealing furniture from the State Department,FAKE
241,241,WIKILEAKS Hillary Got 12 Million for Clinton Charity As Quid Pro Quo For Morocco Meeting,FAKE
242,242,Trump warns of World War III if Clinton is elected,FAKE
243,243,Obama slams Trump's 'rigged' election claims as 'dangerous',FAKE
244,244,Donald Trump claims the election will be 'rigged'  and critics have called that preposterous and dangerous,FAKE
245,245,Trump Hillary Clinton may be 'most corrupt person ever' to run for president,FAKE
246,246,Trump says hed be neutral with Israelis and Palestinians,FAKE
247,247,Donald Trump threatens to jail Hillary Clinton,FAKE
248,248,Trump accuses Obama Hillary Clinton of founding Daesh,FAKE
249,249,Trump accuses Obama Hillary Clinton of founding Daesh,FAKE
250,250,Trump Hillary Clinton may be 'most corrupt person ever' to run for president,FAKE
251,251,Donald Trump threatens to jail Hillary Clinton,FAKE
252,252,Hillary We Did Not Lose A Single Important Person In Libya,FAKE
253,253,ISIS uses an industrial dough kneader to kill 250 children roasts adults in a bakery oven in Douma Syria,FAKE
254,254,North Carolina Hillary Supporter Brags on Facebook About Voting Multiple Times,FAKE
255,255,3 Charlotte Area Counties Report Voting Machines Picking Wrong Candidates,FAKE
256,256,JASON CHAFFETZ EXPOSED HILLARY CLINTONS PLAN TO BRIBE FBI AGENTS TO LET HER GO,FAKE
257,257,WikiLeaks Email Proves Democrats Manipulate Polls,FAKE
258,258,Brad Pitt SHOCKS AMERICA Im Tired Of Liberals Taking My Money Im Voting For TRUMP,FAKE
259,259,ISIS uses an industrial dough kneader to kill 250 children roasts adults in a bakery oven in Douma Syria,FAKE
260,260,'If Trump loses I'm grabbing my musket' former congressman tweets,FAKE
261,261,Insider Leaks Bills 2Word Nickname For Hillary Exposes Dirty Bad Habits,FAKE
262,262,Reddit Users Declare War On Hillarys Paid Internet Trolls,FAKE
263,263,FEAR OF TRUMP BUSH OBAMA CLINTON ALL BUYING PROPERTY IN NONEXTRADITION NATIONS,FAKE
264,264,North Carolina Hillary Supporter Brags on Facebook About Voting Multiple Times,FAKE
265,265,3 Charlotte Area Counties Report Voting Machines Picking Wrong Candidates,FAKE
266,266,JASON CHAFFETZ EXPOSED HILLARY CLINTONS PLAN TO BRIBE FBI AGENTS TO LET HER GO,FAKE
267,267,Brad Pitt SHOCKS AMERICA Im Tired Of Liberals Taking My Money Im Voting For TRUMP,FAKE
268,268,Jackie Mason Hillary Clinton Too Untrustworthy To Serve As Bathroom Attendant  Shed Steal The Toilet Paper,FAKE
269,269,Insider Leaks Bills 2Word Nickname For Hillary Exposes Dirty Bad Habits,FAKE
270,270,Reddit Users Declare War On Hillarys Paid Internet Trolls,FAKE
271,271,FEAR OF TRUMP BUSH OBAMA CLINTON ALL BUYING PROPERTY IN NONEXTRADITION NATIONS,FAKE
272,272,Jackie Mason Hillary Clinton Too Untrustworthy To Serve As Bathroom Attendant  Shed Steal The Toilet Paper,FAKE
273,273,WikiLeaks Email Proves Democrats Manipulate Polls,FAKE
274,274,North Korea Threatens Sacred Nuclear War Against Israel if this country continue supporting ISIS,FAKE
275,275,North Korea Threatens Sacred Nuclear War Against Israel if this country continue supporting ISIS,FAKE
276,276,'If Trump loses I'm grabbing my musket' former congressman tweets,FAKE
277,277,Death of millions of Yemenis in the forgotten war,FAKE
278,278,Rigged Primary Media and Candidate the American Rigged System,FAKE
279,279,Jeddah airport was targeted by Ansar Allah missiles and was set on fire,FAKE
280,280,Is it possible that Saudi King be tried in US courts by JASTA Law,FAKE
281,281,Is it possible that Saudi King be tried in US courts by JASTA Law,FAKE
282,282,Death of millions of Yemenis in the forgotten war,FAKE
283,283,Rigged Primary Media and Candidate the American Rigged System,FAKE
284,284,Jeddah airport was targeted by Ansar Allah missiles and was set on fire,FAKE
285,285,Hillary Clintons Sudden Move Of 18 Billion To Qatar Central Bank Stuns Financial World,FAKE
286,286,Hillary Clintons Sudden Move Of 18 Billion To Qatar Central Bank Stuns Financial World,FAKE
287,287,From the beginning of this year Zionist regime has destroyed 780 houses belonging to Palestinians,FAKE
288,288,Erdogan wants to revive the dream of Ottoman Empire by supporting Saudi Arabia,FAKE
289,289,Syrian President Bashar alAssad welcomes the Prime Minister and Internal Trade and Consumer Protection Minister,FAKE
290,290,Accusing two young men in AlQatif,FAKE
291,291,Saudi Arabia announces date certain for the application of VAT,FAKE
292,292,Queen Elizabeth II owns every dolphin in Britain and doesn't need a driving licence and doesn't pay tax  here are the incredible powers you didn't know the monarchy has,FAKE
293,293,Flash Mob of Black Teens Assault Whites Media Silent On If It's A Hate Crime  Daily Wire,TRUE
294,294,Polls Tighten Trump Gains 27 Percent In Poll Average In Two Weeks,TRUE
295,295,Ben Shapiro Destroys John Oliver On Abortion And Trump  Daily Wire,TRUE
296,296,Will Michelle Obama Run For Office Heres President Obamas Answer,TRUE
297,297,Artificial Intelligence System Predicts Trump Victory,TRUE
298,298,Hillary Clinton Responds To New FBI Investigation,TRUE
299,299,George And Laura Bush Celebrate Their 70th Birthdays  Daily Wire,TRUE
300,300,8 Things You Need To Know About The Dakota Access Pipeline Protests,TRUE
301,301,Holding Hillary Accountable,TRUE
302,302,Texas AM Student Arrested After Crashing Into Squad Car While Taking Nude Selfie,TRUE
303,303,Supreme Court Will Decide Whether Boys Must Pee Next To Girls,TRUE
304,304,State Polls Trump Gains DRAMATICALLY  Daily Wire,TRUE
305,305,Hillary's Climactic TrumpPutin Oppo Dump An EPIC FAIL,TRUE
306,306,New York Times Tries to Compare Comey to Hoover Here Are 4 Reasons That's Idiotic,TRUE
307,307,4 Things You Need to Know About Corrupt DNC Head Donna Brazile,TRUE
308,308,Michael Moore Forget What I Said Before Trump Supporters Are 'Racists And Rednecks',TRUE
309,309,Hillary IMPLODES Trump 'Took EverythingPaid Nothing To Support Us',TRUE
310,310,BREAKING DOJ FINALLY Secures Warrant To Inspect Humas Emails  Daily Wire,TRUE
311,311,NYT On Trump's Rise 'Whiteness Is More Than Just Skin Color',TRUE
312,312,Somebody Kept Driving Over This Trump Supporters Sign The Trump Supporter Got Revenge Its Awesome,TRUE
313,313,Report New York Times Profit PLUMMETS,TRUE
