"","X","title","label","platform"
"26",26,"I Was RFK<U+2019>s Speechwriter. Now I<U+2019>m Voting for Trump. Here<U+2019>s Why.","real","buzzfeed"
"27",27,"NC State Troopers Take A Knee Before Protecting Charlotte - But It Wasn't To Protest The National Anthem... | John Hawkins' Right Wing News","real","buzzfeed"
"28",28,"Sacramento mayor punches pie thrower","real","buzzfeed"
"29",29,"Megan Rapinoe Protests National Anthem Again Despite Warning, Pays The Price","real","buzzfeed"
"30",30,"Liberals Are Furious When Reality Star Brody Jenner Tells the Truth About Police Shootings on Twitter | John Hawkins' Right Wing News","real","buzzfeed"
"31",31,"Donna Brazile slams Trump for not apologizing for birther claims","real","buzzfeed"
"32",32,"US builds working theory on cause of Syrian airstrike","real","buzzfeed"
"33",33,"Emmy Host Kimmel Calls Out Dude Who Made Trump A Reality TV Star For Helping Destroy America (VIDEO)","real","buzzfeed"
"34",34,"Trump-Clinton debates will stream on Twitter","real","buzzfeed"
"35",35,"Biden Slams Trump's Comment That Housing Crisis Was 'Good Business'","real","buzzfeed"
"36",36,"National poll: Clinton leads Trump by 6","real","buzzfeed"
"37",37,"Outraged Parents File Lawsuit: <U+201C>Public School Forced My Child To","real","buzzfeed"
"38",38,"ABC News","real","buzzfeed"
"39",39,"How to watch the first presidential debate","real","buzzfeed"
"40",40,"Topics for first presidential debate announced","real","buzzfeed"
"41",41,"KISS Bassist Gene Simmons on How to Stop Islamic Terrorism: ""PROFILE"" [VIDEO]","real","buzzfeed"
"42",42,"Clinton plans to develop national standards to manage police shootings","real","buzzfeed"
"43",43,"Conway: Trump will explain his Islamic State plan if asked","real","buzzfeed"
"44",44,"Obama: 'We all have a role to play' in terror fight","real","buzzfeed"
"45",45,"Obama: Refugee crisis is test of our humanity","real","buzzfeed"
"46",46,"Trump labels Clinton 'weak and ineffective' in wake of bombings","real","buzzfeed"
"47",47,"In Defense of <U+2018>He Said/She Said<U+2019> Journalism","real","buzzfeed"
"48",48,"Inmate Dead From Alleged Mistreatment In Jail Run By Infamous Pro-Trump Sheriff","real","buzzfeed"
"49",49,"Debate Commission STUNS Journalists By Siding With Trump: Fact Checking Is Out Of Bounds (VIDEO)","real","buzzfeed"
"50",50,"Trump camp: <U+2018>Donald Trump is guilty of answering the question asked<U+2019>","real","buzzfeed"
"51",51,"France becomes the first country to ban plastic plates and cutlery","real","buzzfeed"
"52",52,"Ryan ducks on stop-and-frisk","real","buzzfeed"
"53",53,"Charlotte Police REVEAL What They Said To Black Man Just Moments Before Shooting... | John Hawkins' Right Wing News","real","buzzfeed"
"54",54,"Kaine visits site of Orlando mass shooting","real","buzzfeed"
"55",55,"Obama weighs in on the debate","real","buzzfeed"
"56",56,"How Trump Is Hiding From The Media Like A Total Coward","real","buzzfeed"
"57",57,"Hillary Wants to Know: <U+201C>Why Aren<U+2019>t I 50 Points Ahead?<U+201D>","real","buzzfeed"
"58",58,"Bobby Knight: Nobody can 'correct mistakes' like Trump","real","buzzfeed"
"59",59,"BREAKING: Pipe Bombs Found in New Jersey Train Station | John Hawkins' Right Wing News","real","buzzfeed"
"60",60,"Clinton on Between Two Ferns: 'Really regret doing this'","real","buzzfeed"
"61",61,"Magistrate won't order federal arraignment for bombing suspect","real","buzzfeed"
"62",62,"US: ISIS did not use mustard agent in base attack","real","buzzfeed"
"63",63,"Terrorist Attacks Likely to Affect 2016 Race, Experts Say","real","buzzfeed"
"64",64,"Everything you need to know about Trump and Clinton<U+2019>s first 2016 presidential debate","real","buzzfeed"
"65",65,"U.S. attorney sees no rush to arraign Rahami in federal court","real","buzzfeed"
"66",66,"Donald Trump's rise puts Ted Cruz in a bind","real","buzzfeed"
"67",67,"Trump hits Clinton on Islamic State: <U+2018>It is time for change<U+2019>","real","buzzfeed"
"68",68,"Bridgegate: Port Authority officials planned to make Fort Lee 'traffic jam as bad as possible'","real","buzzfeed"
"69",69,"Bono: <U+2018>Trump is potentially the worst idea that ever happened to America<U+2019>","real","buzzfeed"
"70",70,"2016 race tightens in Florida","real","buzzfeed"
"71",71,"HuffPo Just Dropped The Mic On Internet Polls Saying Trump Crushed Hillary In Last Night<U+2019>s Debate","real","buzzfeed"
"72",72,"Kaine: 'Everybody knows' Libertarians won't win","real","buzzfeed"
"73",73,"Watch Joe Biden Take Trump<U+2019>s Own Words And Tear Him To SHREDS After Debate (VIDEO)","real","buzzfeed"
"74",74,"U.S. mistakenly granted citizenship to hundreds of immigrants","real","buzzfeed"
"75",75,"Insiders: The heat is on Hillary","real","buzzfeed"
"76",76,"Donald Trump Jr. Just Pinned A Tweet So Stupid It Will Make Your Eyes Bleed","real","buzzfeed"
"77",77,"More Milestone Moments for Donald Trump!","real","buzzfeed"
"78",78,"Donald Trump retreats to friendly media ground","real","buzzfeed"
"79",79,"Pence gives no specifics on why Trump Foundation story is inaccurate","real","buzzfeed"
"80",80,"Details Emerge About NYC Bomb Suspect Ahmad Khan Rahami","real","buzzfeed"
"81",81,"Trump<U+2019>s puzzling pitch to black voters","real","buzzfeed"
"82",82,"Joe Arpaio: Trump didn<U+2019>t call Obama<U+2019>s birth certificate <U+2018>legitimate<U+2019>","real","buzzfeed"
"83",83,"Obama looks for peace opening in final meeting with Netanyahu","real","buzzfeed"
"84",84,"McAuliffe hangs with Willie Nelson -- and his weed","real","buzzfeed"
"85",85,"The Mystery of Trump<U+2019>s Man in Moscow","real","buzzfeed"
"86",86,"It's ""Trump is HITLER"" Month at the Washington Post","real","buzzfeed"
"87",87,"Obama<U+2019>s team isn<U+2019>t laughing at Trump anymore","real","buzzfeed"
"88",88,"Georgia poll: Donald Trump, Hillary Clinton in tight race","real","buzzfeed"
"89",89,"Chelsea Handler Gets The Last Word After RNC Chair Attacks Hillary For Not Smiling (VIDEO)","real","buzzfeed"
"90",90,"Is Donald Trump qualified to be president?","real","buzzfeed"
"91",1,"Proof The Mainstream Media Is Manipulating The Election By Taking Bill Clinton Out Of Context","fake","buzzfeed"
"92",2,"Charity: Clinton Foundation Distributed ""Watered-Down"" AIDS Drugs to Sub-Saharan Africa","fake","buzzfeed"
"93",3,"A Hillary Clinton Administration May be Entirely Run by a FIGUREHEAD","fake","buzzfeed"
"94",4,"Trump<U+2019>s Latest Campaign Promise May Be His Most Horrible One Yet","fake","buzzfeed"
"95",5,"Website is Down For Maintenance","fake","buzzfeed"
"96",6,"Obama Pushes One World Government","fake","buzzfeed"
"97",7,"Clinton Foundation Spent 5.7% on Charity; Rest Went to ""Salaries"" and ""Other Expenses""","fake","buzzfeed"
"98",8,"WHOA! NEW DISTURBING VIDEO Shows HILLARY'S Campaign Likely FAKED Her Audience At NC Rally * 100percentfedUp.com","fake","buzzfeed"
"99",9,"Is it the Beginning of the End for Hillary Clinton?","fake","buzzfeed"
"100",10,"BREAKING: Obama Just DISGRACED The U.S. By Surrendering To ISIS In Front Of Entire U.N. <U+22C6> US Herald","fake","buzzfeed"
"101",11,"Declassified Docs Show That Obama Admin Created ISIS In 2012 To Use As A 'Tool' <U+22C6> US Herald","fake","buzzfeed"
"102",12,"A Hillary Clinton Administration May be Entirely Run by a FIGUREHEAD","fake","buzzfeed"
"103",13,"BREAKING: Did Hillary Clinton Have a Nervous Breakdown","fake","buzzfeed"
"104",14,"Website is Down For Maintenance","fake","buzzfeed"
"105",15,"Trump Just Made A Campaign Promise So Ridiculous It Makes <U+2018>Read My Lips<U+2019> Look Good","fake","buzzfeed"
"106",16,"Top Army Chief of Staff General Has Had It With Obama Incompetence <U+22C6> US Herald","fake","buzzfeed"
"107",17,"Congress MUST Act! Five Days Until Obama's Internet Giveaway [Video]","fake","buzzfeed"
"108",18,"Clemson BANS Memes Featuring Dead Gorilla Harambe...Promotes ""Rape Culture"" and ""Racism""","fake","buzzfeed"
"109",19,"How Democrats are Going to Try to STEAL the Election for Hillary","fake","buzzfeed"
"110",20,"Michelle Obama Attacks Hillary: ""If You Can<U+2019>t Run Your Own House, You Certainly Can<U+2019>t Run the White House""","fake","buzzfeed"
"111",21,"Website is Down For Maintenance","fake","buzzfeed"
"112",22,"Why is it ""RACIST"" to Question Someone's Birth Certificate?","fake","buzzfeed"
"113",23,"NYC Terrorist Ahmad Rahami Sued Police Department for <U+2018>Religious Persecution<U+2019> in 2011! <U+22C6> Freedom Daily","fake","buzzfeed"
"114",24,"Fast Food CEO Threatens To Fire Everyone If A Democrat Wins The Presidency","fake","buzzfeed"
"115",25,"Website is Down For Maintenance","fake","buzzfeed"
"116",26,"Angela Merkel Admits Bringing In Muslim Refugees Was A Big Fat Mistake","fake","buzzfeed"
"117",27,"DISGUSTING! Because Of Hillary & Obama, NY Terrorist Will Get Better Treatment Than US Vets! <U+22C6> Freedom Daily","fake","buzzfeed"
"118",28,"DESPICABLE! Hillary Wants To Put Hero Cop Who Stopped Mall Terror Attack Out Of BUSINESS <U+22C6> Freedom Daily","fake","buzzfeed"
"119",29,"UNFIT! Look What Hillary Needed To Get Up The Stairs At Her Rally Today! <U+22C6> Freedom Daily","fake","buzzfeed"
"120",30,"Website is Down For Maintenance","fake","buzzfeed"
"121",31,"HILLARY ON DISABLED CHILDREN During Easter Egg Hunt: ""When are they going to get those f*g ree-tards out of here?"" * 100percentfedUp.com","fake","buzzfeed"
"122",32,"No WAY! Liberal Judge Just Made A Law For Black Males To Do This DISGUSTING Thing To Cops <U+22C6> Freedom Daily","fake","buzzfeed"
"123",33,"Former Haitian Senate President: Clinton's Exploited Haiti Earthquake <U+2018>to Steal Billions of Dollars from the Sick and Starving<U+2019> <U+22C6> Freedom Daily","fake","buzzfeed"
"124",34,"BOOM! Merkel Admits Flooding Germany With Muslim Refugees","fake","buzzfeed"
"125",35,"SICK! Muslim Refugee Beats, Urinates On Pregnant Woman After Seeing What She Has <U+22C6> Freedom Daily","fake","buzzfeed"
"126",36,"Republicans Push Bill To Legalize Voter Intimidation To Help Trump In Pennsylvania","fake","buzzfeed"
"127",37,"Female Muslim-American Olympian Bashes U.S.A. <U+2014>Goes Off The Hinges About Why America Sucks! <U+22C6> Freedom Daily","fake","buzzfeed"
"128",38,"Charlotte Thugs Leaves Cop<U+2019>s Body With Disgusting Thing They Did... <U+22C6> Freedom Daily","fake","buzzfeed"
"129",39,"Nasty Surprise: Obama Told Americans That Their Freedom Is Over And","fake","buzzfeed"
"130",40,"Tebow DISMANTLES national anthem protests in one sentence...BOOM! <U+22C6> Freedom Daily","fake","buzzfeed"
"131",41,"BREAKING: Federal Agents Make Massive Discovery at Southern Border<U+2026> ISIS Is Here <U+22C6> Freedom Daily","fake","buzzfeed"
"132",42,"WATCH: Trump Visits Little Haiti In Miami - 'Reporters' FLEE When Clintons Get EXPOSED!","fake","buzzfeed"
"133",43,"Australia Voted To Ban Muslims And Liberals Are Pissed","fake","buzzfeed"
"134",44,"Two White Men Doused With Gasoline, Set On FIRE By Blacks - Media CENSORED (VIDEO) <U+22C6> Freedom Daily","fake","buzzfeed"
"135",45,"Website is Down For Maintenance","fake","buzzfeed"
"136",46,"The NFL Told Russell Wilson Not To Speak About His Faith, So He Did Something Fans Couldn't Believe <U+22C6> Freedom Daily","fake","buzzfeed"
"137",47,"The Pope Flat Out Called Fox News Type Journalism <U+2018>Terrorism<U+2019>","fake","buzzfeed"
"138",48,"HERE IT IS! The Winner of the First Debate Was Just Announced, And the Winner Is<U+2026>","fake","buzzfeed"
"139",49,"Hillary Thought She Won The Debate. Didn't Expect This To Happen To Prove Her Wrong.","fake","buzzfeed"
"140",50,"Multiple Witnesses: Riot Police DID Shoot Unarmed Charlotte Protester In Head","fake","buzzfeed"
"141",51,"BOMBSHELL: ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs","fake","buzzfeed"
"142",52,"Bombing Suspect Filed Anti-Muslim Discrimination Lawsuit Against Police","fake","buzzfeed"
"143",53,"BREAKING: New Jersey Moves To Impeach Chris Christie Over ""Bridgegate""","fake","buzzfeed"
"144",54,"JUST IN: Newsweek Accuses Trump Of Committing A Felony","fake","buzzfeed"
"145",55,"BREAKING: Putin's Troll Army Caught Rigging Twitter To Pretend Trump Won","fake","buzzfeed"
"146",56,"JUST IN: Trump Supreme Court Pick Sued By Feds For Racial Discrimination","fake","buzzfeed"
"147",57,"Note In Arabic Found With NYC Bomb... Call Says There Will Be More Bombings | John Hawkins' Right Wing News","fake","buzzfeed"
"148",58,"Donald Trump Goes Off The Deep End<U+2013>May Be Unfit For Debate","fake","buzzfeed"
"149",59,"Secret Video Records MASSIVE Hillary Event Flop! | John Hawkins' Right Wing News","fake","buzzfeed"
"150",60,"CNN FURIOUS and Embarrassed After Trump Called Them Out For One Major Thing | John Hawkins' Right Wing News","fake","buzzfeed"
"151",61,"New York bomb Suspect SUED Police! | John Hawkins' Right Wing News","fake","buzzfeed"
"152",62,"Clinton Foundation Spent 5.7% on Charity; Rest Went to ""Salaries"" and ""Other Expenses""","fake","buzzfeed"
"153",63,"Obama's Speech In New York Shocks Americans When He Says THIS About Attacks! | John Hawkins' Right Wing News","fake","buzzfeed"
"154",64,"Bill And Hillary Clinton Have A MAJOR AIDS Scandal!","fake","buzzfeed"
"155",65,"Changing Your Baby's Diaper Is Now A Sex Crime In Arizona - Chicks On The Right","fake","buzzfeed"
"156",66,"Michelle Obama NOT Leaving The White House - Hillary Clinton Has Terrifying New Role For Her!?!? | John Hawkins' Right Wing News","fake","buzzfeed"
"157",67,"New Clinton Foundation SCANDAL Just Broke - This Is What Hillary ACTUALLY Thinks About Black People... | John Hawkins' Right Wing News","fake","buzzfeed"
"158",68,"BREAKING: Judge DEMANDS Release Of Clinton's Security Training Files - She Has 5 Days... | John Hawkins' Right Wing News","fake","buzzfeed"
"159",69,"Networks Confirm They Will Not Be Fact-Checking Donald Trump In Any Way","fake","buzzfeed"
"160",70,"Decades-Old Clinton Friend Comes Forward, Says She Knows What's Happening to Hillary","fake","buzzfeed"
"161",71,"Mayor TELLS Muslim Refugees: <U+2018>We Don<U+2019>t Adapt To Your Culture, You Adapt To Ours<U+2019>","fake","buzzfeed"
"162",72,"White Guy Walled In Car By BlackLivesMatter Protesters - They See What He's Brandishing And Scatter... | John Hawkins' Right Wing News","fake","buzzfeed"
"163",73,"Chicago Environmentalist Scumbags","fake","buzzfeed"
"164",74,"Obama: <U+201C>I bet when I die you<U+2019>ll be happy to pee on my grave.<U+201D> - I Have The Truth","fake","buzzfeed"
"165",75,"SURPRISE! 70% Of Charlotte RIOTERS Are Not From There - Guess What That Means... [VIDEO] | John Hawkins' Right Wing News","fake","buzzfeed"
"166",76,"Hillary's DEAD!?!? Brand New Theory Has Serious PROOF","fake","buzzfeed"
"167",77,"EXPOSED: Soros Funding Fake Veterans' PAC To Take Trump Down | John Hawkins' Right Wing News","fake","buzzfeed"
"168",78,"OUTRAGE! Obama Spends $770M Dollars In Tax Payer Money To Renovate Mosques Over Seas... [VIDEO] | John Hawkins' Right Wing News","fake","buzzfeed"
"169",79,"BOOM! Marines Send TERRORISTS Scathing Message [VIDEO] | John Hawkins' Right Wing News","fake","buzzfeed"
"170",80,"BOOM! Charlotte Officials FINALLY Silence Rioters With One E P I C Announcement! [VIDEO] | John Hawkins' Right Wing News","fake","buzzfeed"
"171",81,"BREAKING: Steps to FORCE FBI Director Comey to Resign In Process - Hearing Decides His Fate Sept 28 | John Hawkins' Right Wing News","fake","buzzfeed"
"172",82,"Hillary's TOP Donor Country Just Auctioned Off ISIS Sex Slaves... | John Hawkins' Right Wing News","fake","buzzfeed"
"173",83,"BREAKING: Cavuto Just Exposed Lester Holt's Lies During Debate","fake","buzzfeed"
"174",84,"DEAR CNN: The AP, In 2004, Said Your Boy Obama Was BORN In This Particular Country","fake","buzzfeed"
"175",85,"People Noticed Something Odd About Hillary's Outfit - Do You See It?","fake","buzzfeed"
"176",86,"People Noticed Something Odd About Hillary's Outfit at the Debate Last Night | John Hawkins' Right Wing News","fake","buzzfeed"
